data,stayingpower,texture,smell,price,others,colour,shipping,packing
"Chuẩn bị hàng lâu, giao hàng trễ ngày. Khá thất vọng với  mua hàng lần này của shop. Chất lượng sản phẩm tốt phù hợp",,,,,,,negative,
"Hàng chất lượng tốt, shop giao nhanh, đủ số lượng sản phẩm, rất hài lòng.",,,,,,,positive,
"Lười chụp ảnh quá, nhưng màu chuẩn, chất lượng cao, đáng để mua",,,,,,positive,,
"Son thiết kế đẹp, mướt mịn như nhung, màu 402 khá giống a12 Blackrouge. Có vẻ k lì nhưng với giá này thì quá ổn r ạ",negative,positive,,positive,,neutral,,
"Sản phẩm tốt 
Mùi son rất thơm 
Đóng gói cẩn thận
Shop phục vụ tốt",,,positive,,,,,positive
rẻ mà xinh lắmm mng oii nhưng ship hơi chậm do là shop quốc tế nên thông cảm ạ,,,,positive,,,negative,
"Hình chỉ mang tính chất nhận xu 
Mình thích dòng son ni nha, cái hộp nó đã gây mê rồi",,,,,neutral,,,
"Đẹp tuyệt vời luôn ấy, chưa bao giờ làm em thất vọng ❤️❤️❤️❤️❤️❤️❤️❤️",,,,,neutral,,,
"Công dụng: son môi
Kết cấu: đẹp
Độ bền màu: lì
Son màu đẹp, tặng bạn nên không test thử đc...đóng gói đẹp, giao hàng nhanh",positive,positive,,,,positive,positive,positive
Đẹp lắp shop ơi. Đặc biệt là son rất lỳ nhé😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,positive,,,,,,,
"Kết cấu: son xinh xỉu, màu mình mua cũng xinh nữa. nhưng chất hơi khô ....",,negative,,,,positive,,
"Màu son cưng quá hợp với da mình, giao hàng nhanh, được tặng kèm 2 món thích quá chừng",,,,,,positive,positive,
Mình đã xài son của Bbia và rất thích nên mua thử màu 25. Màu cũng khá xinh.,,,,,,positive,,
"Sản phẩm đẹp, chất lượng sẽ quay lại ủng hộ shop. Ship hangg nhanh, mọi thứ ok hết kakkakakakakakakakkaka",,,,,,,positive,
"Kết cấu: chất son mịn
Độ bền màu: cũng khá lì
Sản phẩm tạm được, mua lúc sale nên rẻ..",positive,positive,,positive,,,,
Gudveudvsjvsgsiwdtggggggggggttyhhsjveibdvjsbxbbehjevgr,,,,,neutral,,,
"Hàng xinh , giao đúng mẫu ,hàng quốc tế nma giao nhanh xỉu 
Video chỉ mang tính chất nhận xu",,,,,,,positive,
Giao hàng lâu. Chờ mòn mỏi luôn í. Chak do hàng quốc tế. Màu  khá ok. Sẽ ủng hộ shop,,,,,,positive,negative,
"10điểm cho chất son. Chất mềm, mịn, mướt lắm ạ. Không hề bị khô môi. Bôi lên môi khô nhanh và không hề dính môi. Nhẹ môi cực kì. Màu 26 hơi kén da nên mọi người cân nhắc nhé.",,positive,,,,neutral,,
"Hình ảnh mang tính chất nhận xu, sản phẩm đung rất tốt, màu bao xịn",,,,,,positive,,
Shop giao hàng hơi muộn nhưng chất son ok❤️😛,,positive,,,,,negative,
"Kết cấu: ok
Độ bền màu: hơi nhanh trôi hơn bản cũ :**(((((((((#(@((#(#(#((#(#(#((#(#(#(#(#(#(#(#",negative,positive,,,,,,
Ổn ạ,,,,,neutral,,,
"Shop gói hàng rất cẩn thận, hộp son rất đẹp, tô lên rất thích. Sẽ tiếp tục ủng hộ shop",,,,,,,,positive
"Màu đẹp, khó trôi hơn các son khác, chất mịn thơm cầm chắc tay cực",positive,positive,,,,positive,,
Rất thích màu son tự nhiên như vậy nè. Shop giao hàng nhanh......sẽ quay lại ủng hộ.,,,,,,positive,positive,
"Sản phẩm ok lắm, chất son mềm mịn, thơm mùi kẹo cam, cũng ko lì lắm, nói chung chất lượng tương đương với giá cả ạ",negative,positive,positive,positive,,,,
"Chất lượng sản phẩm tốt 
Giao hàng không nhanh mấy
Đóng gói chắc chắn",,,,,,,negative,positive
"Công dụng: giao hàng nhanh, đóng gói sản phẩm chất lượng
Kết cấu: đẹp
Độ bền màu: khá lâu trôi",positive,positive,,,,,positive,positive
Son rẻ mà chất lượng đỉnh lắm nhà mùi thơm xịn shop còn tặng quà đi kèm các bạn nên thử nha,,,positive,positive,,,,
Son giống ảnh ạ chỉ là mùi hơi hôi ( hình ảnh và video chỉ mang tính chất kiếm xu thôi ạ ),,,negative,,,,,
Son cũng được mà hơi ít son chắc mau hết lắm. Chất son hơi bột 1 tí nói chung cũng ok,,negative,,,,,,
Hình ảnh video không liên quan mag tình chất nhận xuu màu son đẹp không kén da lại còn thơm shop mall nên mình yên tâm giá cả hợp lí rcm hs sinh viên mua okila lắm luôn,,,positive,positive,,positive,,
"Video + hình ảnh chỉ mang tính chất nhận xu, son chưa dùng chưa đánh giá chất lượng đc",,,,,neutral,,,
"Son rất đẹp ạ
Giao hàng nhanh 
Đóng gói cẩn thận 
Mầu cũng rất xinh",,,,,,positive,positive,positive
"Chất lượng sản phẩm cũng tạm đc, hmm hồi mua cả set r thấy ổn lắm nay mua 1 cây thấy nó có vẻ lạ lắm hơi chút ko ưng mà tiền này thì ok thui",,,,positive,,,,
Son shop xinh xĩu  gói hàng kĩ càngSon shop xinh xĩu  gói hàng kĩ càng,,,,,,,,positive
Hình ảnh chỉ mang tính chất nhân xu,,,,,neutral,,,
"Màu son em thấy hơi khác chút nhưng cũng được lắm ạ,son mềm thơm.son tầm vài tiếng trôi thôi tại rẻ nên không trông đợi gì lắm ạ:<<",negative,positive,positive,positive,,positive,,
"Son rất đẹp về hình thức
Kết cấu chắc chắn
Độ bám màu lâu, lì, chắc",positive,positive,,,,,,
"Công dụng: Màu xinh vch mn oi
Kết cấu: dep lam luon nhaaa
Độ bền màu: MAu de tay chu khong kho
Đẹp",neutral,positive,,,,positive,,
"Ta nói màu đẹp lắm mấy bà ơi, nhất là màu 402 á
Ai thích tây tây thì lấy e nó nha",,,,,,positive,,
NAN,,,,,neutral,,,
"Săn sale nên giá rẻ,  màu đẹp,  chất có vẻ hơi bột okkkkkkkkkkkkk",,negative,,positive,,positive,,
"Son đẹp xỉu luôn, xỉu up xỉu down, mn nên mua nha, khá lì, lên màu đẹp",positive,,,,,positive,,
"Son xinh, chưa test nên chưa biết có lên màu đẹp không, shipper cute cực",,,,,,neutral,positive,
"Hình ảnh mang tính chất nhận xu 
Son chắc chắn chưa sài chưa biết chất như nào",,neutral,,,,,,
Son màu 25 siêu đẹp. Màu đỏ đất lên môi sáng da lắm nha mọi người,,,,,,positive,,
Màu lên đẹp lắm ạ nên mua nha cảm ơn shop rất nhiều,,,,,,positive,,
Màu son siu đẹp chưa dùng nên chưa biết chất lượng như nàooooo,,,,,,positive,,
"Công dụng: Màu siêu xinh :>
Kết cấu: Có độ ẩm nhất định, không bị khô, chất son mượt
Độ bền màu: Son khá lì, nhưng cũng dễ tẩy trang",positive,positive,,,,positive,,
"Màu trên là 402 dưới là502 trông cx kh có gì khác nhau nma mình thấy siêu okla luôn
Chất son mịn có điều khô hơi nhanh không kịp tan son
Mùi siêu thơm luôn ý
Đầu cọ mềm mượt đáng mua lắm ý mng",,neutral,positive,,,positive,,
"Màu đẹp, nhanh trôi, hợp với giá tiền. Shop phục vụ tốt aaaaaa.",negative,,,positive,,positive,,
"Gói hàng kĩ, giao nhanh son màu đẹp nhưng ko đc mịn lắm",,negative,,,,positive,positive,positive
Son quá đẹp . Đẹp từ khâu chuẩn bị .  Dmsjdndndksnsbsnsbsbsbsnsjsns,,,,,neutral,,,
"Mình chưa dùng thừ nhưng mong là ok vì thâdy nhiều lượt mua ..,,,",,,,,neutral,,,
"Màu ko giống hìnhhình
Haoahaosveisvsosbodnsosbsoanaoabaosbfjd díb",,,,,,negative,,
Cảm ơn shop đã cố gắng ship nhanh cho mình trong mùa dịch khó khăn này. Cảm ơn shop.,,,,,,,positive,
Uầy lần đầu mua hàng đuoejc xịn thế. Tặng gương và tấm thiệp xinh xỉu,,,,,neutral,,,
"Giao hàng hơi lâu.đóng gói kĩ
Son hơi  tối mịn môi và ko bị khô moi",,positive,,,,negative,negative,positive
"Dã nhận hangg, giao lâu quá m còn tưởng k có hàng, bận nên k hỏi thì hnay nhận đc hàng",,,,,,,negative,
"Sản phẩm tốt săn sale nên giá cũng oklaaa lắm màu son đẹp lắm mùi còn thơm nữa, anh shipper rất chi là thân thiện lần sau sẽ ủng hộ nữa ạ!!!!!!!😁😁😁😁😁😁😁😁😁😁😁😁",,,positive,positive,,positive,positive,
Kem nền thì mình đáng giá kh cao cho lắm nma son xịn lắm nha . Mn nên mua cái màu 301 này đi đỉnh lắm mn ơiiii,,,,,,positive,,
"Màu lên môi k giống hình, tone màu khác xa luôn , chất son hơi bết bết k mượt",,negative,,,,negative,,
Son xinh lắm nha shipper rất thân thiệt nha mọi người nên mua nha rất tốt kabahspwpwmdnxbbdkdpqkansnxbxhchcjckfopdpdmanabzvxhcjckockcncbccvchhchfhxcjjfidkdffgggggfgpiqhsbdjxkxkxkxkxjbcbhfjfjfjfjfkfo,,,,,,,positive,
"Bình luận chỉ mang tính chất nhận xu .-.
Nmmmsksmkznzbzhznansis",,,,,neutral,,,
"Được tặng kèm quà 
Chất son mượt không khô môi
Mùi thơm
Màu chuẩn",,,positive,,,positive,,
"Son màu đẹp nhưng ko lì
Tiền nào của nấy
Đc cái vỏ dễ thương
Mua chủ yếu vì hình cưng",negative,,,,,positive,,
"Độ bền màu: w
Nhìn vỏ chắc chắn, chưa dùng nên k biết lây trôi hay không. Giao hàng hơi lâu",neutral,,,,,,negative,
"Son của focallure mình nghe nhiều người review rồi m nay mới mua hi, shop tặng cái mặt nạ. Màu này mình thấy đẹp nha",,,,,,positive,,
"Chất lượng sản phẩm cực kì tuyệt vờ luôn, đóng gói sản phẩm rất đẹp và chắc chắn, shop phục vụ rất tốt và nhiệt tình luôn nha (hình ảnh vid chỉ mang tính chất nhận xu nhaaaaaaaaaaaa) lần sau sẽ ủng hộ😘",,,,,,,,positive
giao hàng lâu 2 tuần mới nhận đc nhưng ko sao lúc mua sợ sẽ ko đẹp. ai ngờ đâu xuất sắc lun í tr. mình đang định mua thêm son lun ý. 💯 nên mua son nha mn. thấy giá rẻ mà đẹp lắm lun,,,,positive,,,negative,
Phải nói là quá đẹp lun á. Tôn da và răng rất nhiều. Da mình là da ngăm mà đánh lên trông sáng lên hẳn.,,,,,,positive,,
"Vì mình mua nhiều nên shop tặng 1c son viên thuốc, chất son rất khó xài toàn bột không mỗi lần bặm môi son lại dây ra kh thể set vào môi được và rất lộ vân môi, mình coi tiktok mng review rất nhiều nhma khi son rất thất vọng, được vỏ son rất cứng cáp, son được tặng chất son còn ok hơn",,negative,,,,,,
Okila. Mua dc thỏi son có 9k thích quá đi bnbvcxxcbbvbvvhhjj,,,,positive,,,,
Son rất uki nhé với giá này thì quá là tốt mặc dù chất son hơi khô nên bạn nào đánh cần thoa lớp son dưỡng đầu tiên nhéeeeee nhưng cũng lần 2 ủng hộ rồi hiiiiiiiiiiiiiiiiiiiiiiik,,negative,,positive,,,,
"Ship lâu
Đẹp
Chất lượng so với giá này
Sẽ ủng hộ 
Shop phục vụ tốt ",,,,positive,,,negative,
"Giao hàng nhanh, chất son mịn, màu đẹp, đánh lên môi mềm môi, rẻ mà chất lượng",,positive,,positive,,positive,positive,
"Kết cấu: chat kem min . Mem moi . Mui thom lam
Độ bền màu: ko li . Nhanh troi lam
Giao hàng tầm 8 ngày có . Nhanh trôi lắm . Màu đẹp . Mịn môi",negative,positive,positive,,,positive,neutral,
Shop đóng gói hàng chắc chắn giao hàng nhanh giá thành hợp lý ok,,,,positive,,,positive,positive
"hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
hình ảnh và vd mang tính chất nhận xu",,,,,neutral,,,
"giao hàng siu nhanh đặt hqua mà hnay đã có, đóng gói dth, son đẹp, xuất sắccc",,,,,,,positive,positive
"Màu son đẹp, mùi thơm nhẹ, khi thoa son lên môi cảm giác hơi khó chịu",,negative,positive,,,positive,,
"Màu lên đẹp chuẩn,màu son quốc dân luôn r á,chắc ai cũng có nhờ",,,,,,positive,,
"màu son xinh và lên chuẩn màu
đóng gói hàng cẩn thậnnnnnnnnnn",,,,,,positive,,positive
Shop giao nhanh lắm ạ mùi son thơm vị socola nha mn nên mua giá cũng rẻ nữa,,,positive,positive,,,positive,
Thời gian giao hàng rất nhanh. Đóng gói sản phẩm rất kĩ lưỡng.,,,,,,,positive,positive
Chưa bóc ra nên chuâw biết tnao. Thấy mn bảo ok mà.&:&:&:&:&:&::&&:&:&:&:&:&:,,,,,neutral,,,
hhhhshshhsbsbjsjejehhshehjrndndnndndndjdndnndndnđnndndndnndndndnndndnndndndnnênnennênnennênnennênnnênnennẹdjdjjdjdjdhdhdhehdhêh,,,,,neutral,,,
"chất son mướt mịn, ok la lắm nha, lên môi rất đẹp, đóng gói đẹp .",,positive,,,,,,positive
"Ở mùa giải thứ 9, Cuộc thi khoa học kỹ thuật (KHKT) dành cho học sinh trung học thành phố Hải Phòng năm học 2020-2021 đã đi vào nề nếp, nhiều dự án có tính khoa học cao, học sinh tự tin trong trình bày và trả lời câu hỏi trước các nhà khoa học. Thông qua cuộc thi đã đẩy mạnh phong trào nghiên cứu KH",,,,,neutral,,,
"Shop quốc tế nhưng giao hàng khá nhanh. Đây là 1 trong 3 đơn mình đặt ở shop đợt này, giao đầy đủ, đóng gói chắc chắn. Màu không giống trên hình lắm, với lại hơi khô, son thì cũng lì đó, nói chung rẻ chấp nhận đc. Còn ủng hộ dài dài.",positive,negative,,positive,,negative,positive,positive
Rất thích cách gói hàng. Nhìn sp bên ngoài khá đẹp mắt.  Thích,,,,,,,,positive
"Không biết son fake hay auth , giao đúng nhưng hơi lâu uuuuuuu",,,,,,,negative,
"Công dụng: đánh lên màu đẹp lắm
Kết cấu: nhỏ nhỏ bé bé dth
Độ bền màu: lì lắm nha
Nội địa Trung mà xịn quá tr ơi",positive,neutral,,,,positive,,
Son giao đúng mã shop gói hàng cẩn thận vỏ hộp và son trông khá xịn nhưng m đánh thấy hơi khô môi vì là dạng son lì.,positive,negative,,,,,positive,positive
"Phấn dễ đánh, phù hợp với giá tiền. Còn son thì bản clay siêuuuuu đẹp, màu đỉnh việc nhưng mà sẽ bị khô môi dữ lắm ạ",,negative,,,,positive,,
Ôk ôk ôk ôk chai nước hoa hồng và xanh lá cây và rau quả tươi nhâtd có thể làm,,,,,neutral,,,
"Lấy tạm ảnh của shop vì không chụp được ảnh son. Ship nhanh, chất lượng son tạm ổn so với giá tiền",,,,positive,,,positive,
"Ưng quá cơ . Màu đẹp lì , mà lại còn bị trấn lột mất vì màu đẹp quá . Ncl ưng . Sẽ ủng hộ thêm ạ 😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😚😙😙😙😙😙😙😙😙😙😙😚😚",positive,,,,,positive,,
"Son mướt, hàng chính hãng",,positive,,,,,,
"Nhận đc đồ rùi, đẹp lắm. Lại còn đc shop tặng thêm bông tẩy trang và mask nữa :)",,,,,neutral,,,
"Chất lượng son tuyệt vời, mềm và bám môii, đáng mua và giao hàng nhanh",,positive,,,,,positive,
Son đẹp rekdmhgjklucudllkkyrsjclbckxshdvlckckckfjdkfiduky,,,,,neutral,,,
Son sịn lắm !!! Thơm nx nhaaaa . Nma bị xước thân son hơi bùn :((,,,positive,,,,,
"Lên màu ok có dịp mua tiếp 
Hánbxbzkxnsmsbsjxmxbbskskxnxbjaa",,,,,,positive,,
Son dùng được lắm ksnshss síndijw s cins ciw sbeidnjsnd dnsnsnsnsmsmsmsmsaakakakaamakkmsns fbdjene endjenw đjksndndjejwnsdb d d djjd d djns djendnsndbdnndbs dbd,,,,,neutral,,,
"Mua kèm son được giá 9k quá hời, phục hồi da ở mức bình thường với giá này quá ok",,,,positive,,,,
Quá okeee luôn 10đ son kem lì lên màu chuẩn không nặng môi 😘,positive,positive,,,,positive,,
"Chất lượng cao, phù hợp túi tiền học sinh sinh viên, giao hàng hơi lâu do dịch",,,,positive,,,negative,
"Son rất mịn ncl siu ưng lunnnnnnn 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍, giao hàng siu nhanh",,positive,,,,,positive,
"Chất son xinh lắm, khá là mịn màu lên xinh xỉu ý màu rất nà xinh lunnn",,positive,,,,positive,,
Son đẹp thơm jkskskkskskskksksjshajjsjsjsjjsjsjsksjmskssj,,,positive,,,,,
Son tạm ổn giao hàng quốc tế nhưng cũng nhanh màu nên không đẹp lắm,,,,,,negative,positive,
"Son thơm, nhưng chưa đánh nên chưa biết khô hay k, giao hàng ổn ạ",,neutral,positive,,,,positive,
"Công dụng: tặng bạn g
Kết cấu: chua thu la  wa
Độ bền màu: d ehknnsksrdn
Nhiều thứ bắt đánh giá quá :))) hơi phiền :)))",neutral,neutral,,,,,,
"Son đẹp lắm nha 
Đáng tiền chụp ảnh xinh lắm luôn:))))) nên mua",,,,positive,,,,
"Chất son xịn xò 
Mịn ko khô môi 
Đóng gói kĩ càng 
Sẽ ủng hộ tiếp lần sau",,positive,,,,,,positive
"Công dụng: làm đẹp
Kết cấu: dễ sử dụng
Độ bền màu: khá lâu trôi nhen , son môi lên màu lắm, dùng lớp dưỡng trc khi son nha ,
mình từng dùng màu 12 r rất ưng , mà nay đổi qua m25 thấy mn recommen quá , 😆 mà m thấy m25 trầm và hơi thiên cam xíu, còn m2 thì đỏ cam tươi nổi quá nên m đánh kèm màu khác tối hơn đỡ nhìn cũng khá đẹp( bạn nào da trắg thì xinh lắm) 🥲, đc tặng thêm túi vs bao lixi hehe  sẽ ủng hộ shop tiếp .",positive,neutral,,,,neutral,,
Son nhung lên màu chuẩn nhưng độ bám vào môi k ok lắm mình thấy vậy  còn màu rất đẹp,,positive,,,,positive,,
"Công dụng: ok
Kết cấu: ok
Độ bền màu: ok
Hàng quốc tế nên giao hơi lâu xíu. Mua sale nên wa rẻ cho 1 cây son cũng khá là xịn xò. Thik nhất khâu đóng gói, chống sốc rất kỹ , 10d",positive,positive,,positive,,,negative,
"Shop giao hàng tương đối nhanh
Hàng chuẩn đét
Màu son cũng xinh ạ",,,,,,positive,positive,
Hàng xinh rẻ đẹp lắm ạ mùi thơm nữa chứ. Shippr zui tính bo hẳn 5k nữa chứ hihi 10 đỉm nha ><,,,positive,positive,,,positive,
"Công dụng: f
Kết cấu: k
Độ bền màu: a
son rất đẹp nha các bạn vì là shopee mall nên rất yên tâm đóng gói cực tốt về đến tay ko có móp hay trầy j luôn",neutral,neutral,,,,,,positive
"mùi hơi khó ngửi , chắc là do vỏ mới bóc , chất son khá là thích , giao đúng màu ",,positive,negative,,,,positive,
Son rất mềm mịn và chất lượng với giá 50k thật sự rất ưng nhưng mà dung lượng ít,,positive,,positive,,,,
Qưertyuioplkjhgfdsazxcvbbmmlkjjhggfdsaaqeryiopouyrwqwruooiyrwszfhkkjcxssfghjn.  Nczzxfhhcvgfhfyuioibbczzdfhhjjjkkk,,,,,neutral,,,
Thời gian giao hàng nhanh sản phẩm giống hình mình chưa xài để xài thử xem s tốt mình sẽ mua tiếp,,,,,,,positive,
"Bbia màu 23 xinh xỉu lun nha mng, đóng gói chắc chắn =)))))))))",,,,,,positive,,positive
"Chất son lỏng lắm ,không phải chất kem mọi người aj, khô rất nhanh luôn  và đánh lên cảm giác  cũng khô môi, nhưng mà lì lắm nha mọi người",positive,negative,,,,,,
"Màu lên chuẩn cam đất luôn ạ, đẹp tôn da, son mịn mướt không gây nặng môi chút nào luôn ạ",,positive,,,,positive,,
"Mùi son khá thơm, chất son đẹp hơn dòng trước và vỏ son cũng xinh nữa.",,positive,positive,,,,,
"Shop giao hàng siêu nhanh, chỉ mới hơn 1 ngày đã nhận được hàng, đóng gói cẩn thận",,,,,,,positive,positive
"Son rẻ, màu lên đẹp cảm giác mịn môi lắm mng. Nên mu",,positive,,positive,,positive,,
"Son đóng gói kĩ, có mùi thơm như mùi socola.       
Shop giao hàng đúng dự kiến",,,positive,,,,positive,positive
"Son mềm - mịn - nhẹ môi - thơm nữa😍😍😍😍
Môi mình hơi hồng sẵn nha.",,positive,positive,,,,,
Son rẻ đẹp chất ok. Mình mua thỏi t3 rùi. Hihi...............,,positive,,positive,,,,
"Son đẹp, màu 25 siêu đẹp đánh lên trắng da, mua ở Mall nên yên tâm",,,,,,positive,,
Mình mua 2 màu là 06 và 04. Mix lại thì yêu cực kì. Màu 06 thì nhìn ở ngoài trầm nhưng đánh lên đẹp lắm còn màu 04 thì hơi chói xíuu. Cũng tạm đc,,,,,,positive,,
"Son rẻ mà đẹp, nói chung là ngon bổ rẻ có mùi thơm như socola vay á",,,positive,positive,,,,
"Săn 20/10 mua 99k 2 thỏi, khá là hời, tuy nhiên chất son làm môi hơi khô, màu thì xinh nhưng sợ dùng lâu bị khô",,negative,,positive,,positive,,
Thời gian vận chuyển rất hợp lí. Tôi đã đặt hàng với tâm thế hào hứng chờ đợi để được trải nghiệm sản phẩm và tôi không hề bị chờ mỏi cổ. Có thể thấy bên vận chuyển không quản ngại thời tiết và đường xá xa xôi để đưa sản phẩm cho tôi trong thời gian ngắn nhất.,,,,,,,positive,
"Son mịn môi lên màu đẹp
Vỏ son đẹp xinh xẻo nhưng đc 1 tuần bị mờ mất tiêu rồi 😌",,,,,,positive,,
"Sang, xịn, mịn.
Iuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu",,,,,neutral,,,
Sơn OK nha mn. Nên mua ah. Mk dùng hãng này lâu lắm luôn rồi chưa muốn đổi,,,,,neutral,,,
vì là hàng nc ngoài nên lâu :(( hàng oke nha mng. nên mua. giá rẻ. màu lên cũng fine. sez ủng hộ shop,,,,positive,,positive,negative,
"Giao hàng siêuu lâu , màu son k giống hình, k dùng đc vì nhanh khô, k tán đc , vỏ đẹp ",,negative,,,,negative,negative,
Màu son đẹp. Rất mịn ko bị khô môi. Son bám lâu. Mua của shopee mall nên cũng yên tâm. Đóng gói rất cẩn thận. Cảm ơn shop,positive,positive,,,,positive,,positive
Hình ảnh mang tính chất minh hoạ thuii nhưng mà hàng ok lắm nheee,,,,,neutral,,,
"Son lên màu xinh lắm mn ơi , đánh mướt môi ghê ý . Hằng qte nên hơi lâu tí thuii ạ 😢😢💯💯",,positive,,,,positive,negative,
sản phẩm okkk đẹp lắm ạ cảm ơn shoppppppppppppppppppppppppp,,,,,neutral,,,
Hình ảnh mang tính chất nhận xu nhưng son vô cùng chất lượng hợp để đánh đi học,,,,,neutral,,,
son đẹp lắm luôn rất là đáng để mua nháaaaaaaaaaaaaaaaaaaaa,,,,,neutral,,,
"bản, có chủ đề thống nhất, có kết cấu hoàn chỉnh được đánh dấu từ chỗ viết hoa lùi đầu dòng đến chỗ chấm xuống dòng. Có thể thấy về mặt nội dung, đoạn văn là một ý hoàn chỉnh ở một mức độ nhất định nào đó về",,,,,neutral,,,
"Shop giao nhanh đóng gói cẩn thận , chất don khá oke đánh lên môi nhiều dưỡng nên muaaaa",,positive,,,,,positive,positive
Màu son đẹp lắm nhé các bạn. Màu này tô lên tươi lắm nhìn năng động.  Bám màu cũng lâu nữa,positive,,,,,positive,,
"Chất son mịn như nhung đúng như shop nói , lên màu rất đẹp 😻 Sorry shop vì không tiện chụp ảnh cây son cho shop và mọi người xem :(( Nếu có dịp sau sẽ mua tiếp hàng của shopp ❤️❤️",,positive,,,,positive,,
"Màu son rất đẹp chất rất ok , son lỳ 
Gái sale rẻ nửa ak😘😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",positive,positive,,positive,,positive,,
"Giao hàng cũng khá nhanh, lần sau sẽ tiếp tục ủng hộ...",,,,,,,positive,
"Màu lên chuẩn
Cả hai màu ko khác nhau gì mấy
Khuyến khích mua ạ :))",,,,,,positive,,
Hình ảnh và video mang tính chất nhận xu thôi nhaaaaaaaaaaaa,,,,,neutral,,,
Từ chất lượng đến bao bì của sản phẩm đều đẹp son lên màu chuẩn lì k bị khô môiii,neutral,positive,,,,positive,,positive
"Shop đóng gói cận thận. Giao hàng khá nhanh
Màu son rất đẹp nhá, mùi thơmmmmmm",,,positive,,,positive,positive,positive
"Son xinh xỉu, màu này swatch lên tay màu xinh mà mình tô lên môi sao nó không chuẩn lắm, chắc do môi mình :((( anyway son có mùi thơm, giao hàng nhanh, shop đings gói nhìn cũng xinh nữa. Recommand mng nên mua ạ.",,,positive,,,neutral,positive,positive
"Sản phẩm phù hợp giá tiền
Đóng gói cẩn thận 
Giao hàng nhanh
Bsjjd
Hsjidj
Jsjkdenwk
Hidow",,,,positive,,,positive,positive
"giao hàng hơi chậm ạ, nhưng đóng gói kĩ càng, dùng thử thì thấy đáng tiền nhaa",,,,positive,,,negative,positive
Jsjsjsjsksshshjskskskskksjsbsbsbsbbsnsnsnmsksksksksjs,,,,,neutral,,,
"Son mướt mịn và màu gất đẹp nha mn, shop gói hàng đầy đủ và cẩn thận",,positive,,,,positive,,positive
Hàng đẹp nè shop phục vụ cũng tốt hàng ko bị thiếu ship rẻ nưac quá đẹp,,,,positive,,,positive,
Màu son đẹp và dịu mà lỡ mua hai màu giống nhau. Đóng gói đẹp và sang,,,,,,positive,,positive
"Giao hàng nhanh, đóng gói chắc chắn, sẽ ủng hộ lần sau,...........",,,,,,,positive,positive
"Chất lượng khá tốt, khi đánh hơi khó tán đều chút, toi tính đánh nhạt nhạt nhg hơi khó. Về toàn diện thì ai thik son lì thì sp này rất ok, hơi khó tán xíu pk dùng cây để trét đều môi, ns chung thì rất ổn, nên mua nhé",positive,negative,,,,,,
75txkh lvuvcjxutxtu   ljlcldkxy jjclyiztk son ok :' ))))))),,,,,neutral,,,
giao hàng khá nhanh chất son rất mỏng nhẹ lâu trôi nhưng màu v25 này sao kh giống ảnh lắm ạ nhưng màu đẹp sơn lên nhìn rất đẹp,positive,positive,,,,positive,positive,
"Đặt hàng chờ lâu mà thiếu mất cây son Shop giao thiếu hàng
Ntin không rep
Cbi hàng lâu
Mong shop hoàn lại tiền",,,,,,,negative,
Son đẹp lắm mà rẻ nữa ạ. Cầm khá thích tay,,,,positive,,,,
Shosp gói hàng cẩn thận chắc chắn son màu xinh mùi thơm dễ chịu,,,positive,,,positive,,positive
"Màu son đẹp, đáng tiền. Minh mua tận 3 cây. Giao hàng nhanh. Chất lượng",,,,positive,,positive,positive,
Ưng lắm ship nhanh ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,,,,,,positive,
NAN,,,,,neutral,,,
Màu đẹp lên môi mềm mịn. Nên đánh 1 lớp mỏng rồi lấy giấy thâm qua đã rồi bôi thêm lớp 2 màu sẽ lâu trôi hơn.🥰🥰🥰🥰🥰🥰👍👍👍👍😂😂👍🥰🥰🥰🥰🥰🥰😄😄,neutral,positive,,,,positive,,
Vỏ ngoài son đẹp . rẻ hơn so với giá luôn . lần t2 mua của shop r ok lắm . mn nên mua,,,,positive,,,,
https://m.facebook.com/story.php?story_fbid=261504584240,,,,,neutral,,,
"Đóng gói cẩn thận,đẹp mắt vì tình hình dịch nên khoảng 14 mới nhận được",,,,,,,negative,positive
"Có bao giờ bạn cảm thấy mất niềm tin vào cuộc sống chưa?

Ví như cảm thấy mọi thứ xung quanh toàn là điều dối trá, cảm thấy tất cả đều không công bằng, cảm thấy những nỗ lực mình bỏ ra chẳng được đền đáp. Cảm thấy mình chỉ là một người bất tài vô dụng.

Nếu bạn đã từng như thế thì",,,,,neutral,,,
"Son thơm lắm ạ
Nhưng chất hơi xốp và khô nữa 
Với giá này thì.hong đòi hỏi gì thêm nxuafakxjagba",,negative,positive,positive,,,,
